SerialN,Name,Ratings,Price,Condition,Date
38_mobile,TECHPACIFIC SYSTEMS,1 out of 5 stars,"Rs. 5,511.25",New,2016-04-15
38_mobile,Midas Communications,5 out of 5 stars,"Rs. 5,999.00",New,2016-04-15
39_mobile,MAYANK ENTERPRISE,4 out of 5 stars,"Rs. 25,500.00",New,2016-04-15
39_mobile,Naresh communication,,"Rs. 30,499.00",New,2016-04-15
40_mobile,creative1081,4.5 out of 5 stars,"Rs. 6,999.00",New,2016-04-15
40_mobile,INDUS SIX,1 out of 5 stars,"Rs. 8,700.00",New,2016-04-15
40_mobile,PlanetTelecom,1 out of 5 stars,"Rs. 8,799.00",New,2016-04-15
40_mobile,Smsoft Computers- kerala,3.5 out of 5 stars,"Rs. 8,900.00",New,2016-04-15
40_mobile,R M MARKETING,,"Rs. 10,000.00",New,2016-04-15
41_mobile,N F B C_Retail,3 out of 5 stars,"Rs. 7,740.00",New,2016-04-15
41_mobile,LXRETAIL,,"Rs. 7,849.00",New,2016-04-15
41_mobile,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 8,099.00",New,2016-04-15
41_mobile,IMEX Enterprises,4.5 out of 5 stars,"Rs. 8,199.00",New,2016-04-15
41_mobile,The Mobile Club,,"Rs. 8,295.00",New,2016-04-15
41_mobile,,4.5 out of 5 stars,"Rs. 8,782.00",New,2016-04-15
41_mobile,bharat telecom,3 out of 5 stars,"Rs. 8,400.00",New,2016-04-15
41_mobile,GURUKIRPA,,"Rs. 8,999.00",New,2016-04-15
41_mobile,khushi com,3 out of 5 stars,"Rs. 8,999.00",New,2016-04-15
41_mobile,The Electronic Sale,3.5 out of 5 stars,"Rs. 9,300.00",New,2016-04-15
42_mobile,,3.5 out of 5 stars,"Rs. 3,447.00",New,2016-04-15
43_mobile,Allianz Shoppe,2 out of 5 stars,"Rs. 3,800.00",New,2016-04-15
46_mobile,iRock,4 out of 5 stars,"Rs. 4,800.00",New,2016-04-15
46_mobile,Home Zone Udaipur,4 out of 5 stars,"Rs. 4,700.00",New,2016-04-15
46_mobile,Tanishka mobile,3 out of 5 stars,"Rs. 4,800.00",New,2016-04-15
46_mobile,Super Systems Care,,"Rs. 5,300.00",New,2016-04-15
46_mobile,Super Systems Care,,"Rs. 5,300.00",New,2016-04-15
46_mobile,,4.5 out of 5 stars,"Rs. 5,949.00",New,2016-04-15
49_mobile,Kashmira Mobile,,"Rs. 16,000.00",New,2016-04-15
49_mobile,THE MOBILE SHOPEE,,"Rs. 16,000.00",New,2016-04-15
49_mobile,Eazee Cell,,"Rs. 16,500.00",New,2016-04-15
49_mobile,Ramsnehi mobile & Computer,5 out of 5 stars,"Rs. 16,500.00",New,2016-04-15
50_mobile,IndiaCart,,"Rs. 5,789.00",New,2016-04-15
50_mobile,SRI SRINIVASA MARKETINGS,,"Rs. 5,799.00",New,2016-04-15
50_mobile,K.V.A. Enterprises,,"Rs. 6,799.00",New,2016-04-15
50_mobile,The Smart Solution,1 out of 5 stars,"Rs. 6,999.00",New,2016-04-15
50_mobile,,4 out of 5 stars,"Rs. 8,499.00",New,2016-04-15
50_mobile,Sai Communication CHD,,"Rs. 8,450.00",New,2016-04-15
51_mobile,,4.5 out of 5 stars,"Rs. 13,490.00",New,2016-04-15
51_mobile,Chandansingh Rajput,1 out of 5 stars,"Rs. 13,650.00",New,2016-04-15
51_mobile,Mobile Zone jal,,"Rs. 14,000.00",New,2016-04-15
51_mobile,Shree Krishna enterprises,,"Rs. 13,990.00",New,2016-04-15
51_mobile,ALL MOBILE SOLUTION,,"Rs. 13,990.00",New,2016-04-15
51_mobile,Agmatel India Pvt Ltd _DEL_SLC,,"Rs. 14,965.00",New,2016-04-15
51_mobile,Prakash Stores,4 out of 5 stars,"Rs. 16,000.00",New,2016-04-15
51_mobile,madhurshop,,"Rs. 19,990.00",New,2016-04-15
51_mobile,madhurshop,,"Rs. 19,990.00",New,2016-04-15
52_mobile,Shri Bankey Bihari Communication,,"Rs. 4,799.00",New,2016-04-15
53_mobile,,4 out of 5 stars,"Rs. 9,718.00",New,2016-04-15
53_mobile,DealsDray,4 out of 5 stars,"Rs. 9,719.00",New,2016-04-15
53_mobile,OnlineSolutions,4 out of 5 stars,"Rs. 10,100.00",New,2016-04-15
53_mobile,,4.5 out of 5 stars,"Rs. 10,178.00",New,2016-04-15
53_mobile,AMIT COMMUNICATION,,"Rs. 9,999.00",New,2016-04-15
53_mobile,SHIVALIK COMPUTERS,,"Rs. 10,499.00",New,2016-04-15
53_mobile,K. COMM.,,"Rs. 11,500.00",New,2016-04-15
53_mobile,SGS DIGITAL,,"Rs. 11,600.00",New,2016-04-15
53_mobile,Magiczone,,"Rs. 11,500.00",New,2016-04-15
53_mobile,Tharakan Duty Paid,3.5 out of 5 stars,"Rs. 13,200.00",New,2016-04-15
54_mobile,GADGETS_ONLINE,4.5 out of 5 stars,"Rs. 4,990.00",New,2016-04-15
54_mobile,PUSHPA RETAIL,4 out of 5 stars,"Rs. 5,199.00",New,2016-04-15
54_mobile,Comminucation Next,1 out of 5 stars,"Rs. 6,199.00",New,2016-04-15
55_mobile,ADCOM,3.5 out of 5 stars,"Rs. 4,081.00",New,2016-04-15
55_mobile,Parth Lifestyle Products,4.5 out of 5 stars,"Rs. 4,099.00",New,2016-04-15
56_mobile,ELECTROWORLD12,1 out of 5 stars,"Rs. 8,600.00",New,2016-04-15
56_mobile,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 8,735.00",New,2016-04-15
56_mobile,ARORA TELECOM,,"Rs. 9,000.00",New,2016-04-15
56_mobile,Sidharth Mobile Zone,,"Rs. 8,990.00",New,2016-04-15
56_mobile,Chandansingh Rajput,1 out of 5 stars,"Rs. 8,990.00",New,2016-04-15
56_mobile,ALL MOBILE SOLUTION,,"Rs. 8,990.00",New,2016-04-15
56_mobile,Seller No. 1,4 out of 5 stars,"Rs. 9,190.00",New,2016-04-15
56_mobile,dyechem industries,,"Rs. 8,900.00",New,2016-04-15
56_mobile,Satnam Shoppe,5 out of 5 stars,"Rs. 8,990.00",New,2016-04-15
56_mobile,Ritesh Kalwani,4.5 out of 5 stars,"Rs. 9,500.00",New,2016-04-15
57_mobile,VEDA_INDIA,4.5 out of 5 stars,"Rs. 3,119.00",New,2016-04-15
57_mobile,Salu Traders,,"Rs. 3,110.00",New,2016-04-15
57_mobile,,4.5 out of 5 stars,"Rs. 3,230.00",New,2016-04-15
57_mobile,R  J ELECTRONICS,2.5 out of 5 stars,"Rs. 3,440.00",New,2016-04-15
57_mobile,JKCSHOP,4.5 out of 5 stars,"Rs. 3,498.00",New,2016-04-15
58_mobile,SKYOC,4 out of 5 stars,"Rs. 3,031.00",New,2016-04-15
58_mobile,,4.5 out of 5 stars,"Rs. 3,119.00",New,2016-04-15
58_mobile,Staunch,4.5 out of 5 stars,"Rs. 3,199.00",New,2016-04-15
58_mobile,Click at Jagdamba Enterprises,4.5 out of 5 stars,"Rs. 3,290.00",New,2016-04-15
58_mobile,JAGDAMBA MOBILE,,"Rs. 3,290.00",New,2016-04-15
59_mobile,tagra mobile house,,"Rs. 15,000.00",New,2016-04-15
61_mobile,MOBILE CARE ALMORA,,"Rs. 6,499.00",New,2016-04-15
62_mobile,,1 out of 5 stars,"Rs. 7,799.00",New,2016-04-15
64_mobile,Eazee Cell,,"Rs. 17,000.00",New,2016-04-15
64_mobile,HimalayaGadgetStore,3.5 out of 5 stars,"Rs. 17,000.00",New,2016-04-15
65_mobile,,4.5 out of 5 stars,"Rs. 2,599.00",New,2016-04-15
65_mobile,,4.5 out of 5 stars,"Rs. 2,739.00",New,2016-04-15
65_mobile,GAUTAM MOBILE ZONE,1 out of 5 stars,"Rs. 2,799.00",New,2016-04-15
65_mobile,NEW KOHINOOR MOBILE,,"Rs. 2,799.00",New,2016-04-15
65_mobile,SRI SAI VENKATESHWARA COMMUNICATION,,"Rs. 2,799.00",New,2016-04-15
66_mobile,Fone Zone Nxt,1 out of 5 stars,"Rs. 20,000.00",New,2016-04-15
67_mobile,Aster Enterprises,1 out of 5 stars,"Rs. 7,499.00",New,2016-04-15
67_mobile,Madurai sun cell,,"Rs. 7,499.00",New,2016-04-15
68_mobile,Rockingdeals.co,4.5 out of 5 stars,"Rs. 8,599.00",Refurbished,2016-04-15
69_mobile,Aseem enterprises,,"Rs. 3,640.00",New,2016-04-15
69_mobile,N F B C_Retail,3 out of 5 stars,"Rs. 3,640.00",New,2016-04-15
69_mobile,,4.5 out of 5 stars,"Rs. 3,749.00",New,2016-04-15
69_mobile,LavaEstore,3.5 out of 5 stars,"Rs. 3,749.00",New,2016-04-15
69_mobile,RG MOBILES,,"Rs. 3,800.00",New,2016-04-15
69_mobile,Hariom Mobile Phones,1 out of 5 stars,"Rs. 3,840.00",New,2016-04-15
69_mobile,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 3,840.00",New,2016-04-15
69_mobile,fmob,,"Rs. 4,000.00",New,2016-04-15
69_mobile,mobile mantra,1 out of 5 stars,"Rs. 4,000.00",New,2016-04-15
69_mobile,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 3,973.00",New,2016-04-15
70_mobile,Mekalsuta Enterprises,1.5 out of 5 stars,"Rs. 10,299.00",New,2016-04-15
70_mobile,ELECTROWORLD12,1 out of 5 stars,"Rs. 10,400.00",New,2016-04-15
70_mobile,Satnam Shoppe,5 out of 5 stars,"Rs. 11,490.00",New,2016-04-15
70_mobile,The Digital World,3.5 out of 5 stars,"Rs. 11,790.00",New,2016-04-15
